Country,Region,Year,Adult_mortality,Alcohol_consumption,BMI,Incidents_HIV,Population_mln,Schooling,Life_expectancy,Avg_Immunization,Adult_to_Infant_Mortality_Ratio,GDP_per_capita_log,Thinness_children_adolescents,Child_deaths,Economic_Status_Developing
Norway,Rest of Europe,2001,80.4955,5.49,25.7,0.03,4.51,12.1,78.8,90.0,16.769895833333337,11.134443028191951,0.75,8.5,False
Finland,European Union,2013,76.567,9.08,26.0,0.08,5.44,12.3,81.0,94.0,23.927187499999995,10.670024590324125,0.8500000000000001,4.9,False
Comoros,Africa,2007,255.8815,0.15,23.5,0.02,0.64,3.5,60.7,72.25,3.7740634218289086,7.062191632286556,7.25,158.7,True
Japan,Asia,2005,68.768,7.98,22.6,0.17,127.77,11.2,81.9,90.0,18.09684210526316,10.407288561365155,1.6,6.5,False
Gabon,Africa,2012,256.88,7.47,24.9,1.57,1.75,7.8,62.9,77.0,6.4059850374064835,8.879333174786028,6.25,96.2,True
Ghana,Africa,2011,257.0865,1.67,23.7,0.93,25.39,6.8,61.4,82.75,5.564642857142857,7.365812837209472,6.85,111.10000000000001,True
Philippines,Asia,2001,214.2685,4.53,22.3,0.01,79.67,7.7,68.8,54.75,7.337962328767123,7.521859252201629,5.35,65.1,True
"Congo, Rep.",Africa,2003,406.702,0.9,22.3,2.23,3.41,5.7,53.8,58.75,6.199725609756098,7.636752112435779,8.95,164.8,True
Madagascar,Africa,2011,237.6755,0.89,21.1,0.15,21.74,6.1,63.8,70.75,5.078536324786325,6.142037405587356,7.45,112.8,True
Estonia,European Union,2004,194.0975,15.52,25.8,0.08,1.36,12.0,71.9,94.0,26.95798611111111,9.494315582496638,2.25,14.0,False
Belize,Central America and Caribbean,2013,179.144,6.6,28.7,0.39,0.35,10.5,73.5,94.25,11.483589743589745,8.448485993406447,3.4,31.5,True
Kazakhstan,Asia,2006,270.9885,6.76,25.8,0.08,15.31,11.7,66.2,99.0,10.187537593984962,8.966866554188723,2.45,54.6,True
Cameroon,Africa,2015,340.1265,4.55,24.3,1.12,23.3,6.1,57.6,77.25,5.86425,7.232733136177615,5.55,145.0,True
Jordan,Middle East,2006,121.011,0.55,28.3,0.13,5.99,9.8,72.8,95.5,5.990643564356436,8.415603335654604,3.8499999999999996,41.7,True
Zimbabwe,Africa,2009,551.9115,2.77,23.6,7.31,12.53,7.2,48.4,69.75,10.034754545454547,6.848005274576363,7.45,145.3,True
Bhutan,Asia,2005,253.2655,0.73,22.8,0.19,0.65,2.3,65.3,90.25,5.54191466083151,7.306531398939505,18.200000000000003,102.2,True
Switzerland,Rest of Europe,2010,56.9105,10.01,25.1,0.06,7.82,13.3,82.2,90.5,11.61438775510204,11.31481593137566,0.45,8.5,False
South Africa,Africa,2006,515.718,7.3,26.6,11.13,48.49,9.0,53.8,74.25,10.376619718309858,8.670429167315095,7.2,127.9,True
Jordan,Middle East,2012,113.2855,0.36,28.7,0.13,8.09,9.9,73.7,97.5,6.586366279069767,8.38662882139512,3.9,35.2,True
Eritrea,Africa,2012,274.029,1.03,20.6,0.18,3.28,3.9,63.2,92.5,7.249444444444445,6.551080335043404,8.649999999999999,88.0,True
Germany,European Union,2010,77.604,11.58,26.3,0.03,81.78,13.8,80.0,92.5,17.245333333333335,10.539058584958477,1.1,7.7,False
Saudi Arabia,Middle East,2014,89.12,0.0,28.3,0.13,30.92,9.5,74.5,98.0,9.58279569892473,9.919803717021065,7.6,17.9,True
Kiribati,Oceania,2004,214.7745,0.49,29.1,0.17,0.09,7.2,64.2,56.0,4.26139880952381,7.305860032684009,0.2,114.0,True
Seychelles,Africa,2011,154.4505,7.83,26.3,3.5,0.09,8.4,72.7,99.0,11.700795454545455,9.522593098362169,5.9,26.4,True
Madagascar,Africa,2012,232.446,0.85,21.1,0.18,22.35,6.1,64.3,68.25,5.0975,6.144185634125646,7.35,109.4,True
Singapore,Asia,2014,52.393,1.84,23.6,0.08,5.47,11.4,82.5,94.5,16.3728125,10.909326441051883,2.2,4.9,True
Togo,Africa,2008,318.7475,1.44,22.9,1.45,6.08,4.3,56.2,76.75,5.108133012820513,6.124683390894205,7.65,155.8,True
Denmark,European Union,2009,85.8135,10.08,25.3,0.04,5.52,12.7,78.6,87.75,18.655108695652178,10.82889658605481,1.0,7.800000000000001,False
"Gambia, The",Africa,2015,261.7065,2.69,23.9,0.96,2.09,3.4,60.9,88.5,6.430135135135135,6.495265555937008,7.25,99.5,True
Costa Rica,Central America and Caribbean,2014,87.237,3.12,27.2,0.19,4.8,8.6,79.4,90.75,9.80191011235955,9.337501517592862,1.7,17.200000000000003,True
Belize,Central America and Caribbean,2010,181.584,6.47,28.4,0.37,0.32,10.5,72.1,94.75,10.557209302325582,8.469891918298224,3.45,35.099999999999994,True
Sweden,European Union,2010,57.492,7.38,25.8,0.08,9.38,12.3,81.5,87.75,16.426285714285715,10.786655739574796,1.3,5.6,False
Austria,European Union,2014,65.815,12.4,25.5,0.08,8.55,12.1,81.5,95.25,16.052439024390246,10.697520250869932,1.9,6.9,False
Kyrgyz Republic,Asia,2012,183.8625,5.98,26.1,0.14,5.61,10.7,70.0,87.75,7.597623966942149,6.902742737158593,3.25,49.3,True
Grenada,Central America and Caribbean,2013,143.8315,7.81,26.7,0.4,0.11,8.5,72.6,94.25,9.718344594594594,8.995660899074103,3.8,29.6,True
Brunei Darussalam,Asia,2010,91.9455,0.25,26.4,0.1,0.39,8.8,74.7,95.75,10.330955056179775,10.417448256797591,5.65,17.6,True
Greece,European Union,2009,75.948,8.32,27.0,0.09,11.11,10.1,80.2,92.5,17.260909090909088,10.036268663769947,0.75,7.3,False
Norway,Rest of Europe,2010,64.862,6.59,26.4,0.04,4.89,12.7,81.0,92.75,17.530270270270268,11.190348243940534,0.7,6.0,False
Uruguay,South America,2006,116.762,6.45,26.3,0.2,3.33,8.0,76.0,94.5,9.193858267716536,9.266342562091468,1.6,25.2,True
Croatia,European Union,2006,109.298,10.98,26.2,0.02,4.31,9.9,75.8,96.5,16.815076923076923,9.389406636049465,1.8,11.9,False
Romania,European Union,2008,151.8615,12.38,25.8,0.04,20.54,10.6,72.6,95.75,11.772209302325582,9.0217190130337,3.3,25.9,False
Central African Republic,Africa,2011,463.613,1.97,22.5,1.78,4.42,3.7,48.0,51.25,4.7452712384851585,6.311734809152915,8.8,237.2,True
Algeria,Africa,2015,95.8155,0.55,25.5,0.05,39.73,7.9,76.1,96.0,4.23962389380531,8.337827262447915,5.9,46.8,True
"Yemen, Rep.",Middle East,2011,231.9445,0.04,23.4,0.03,23.81,2.8,65.8,75.5,5.009600431965443,7.7458682297922685,13.649999999999999,103.8,True
Armenia,Rest of Europe,2009,139.3615,3.97,26.0,0.08,2.89,11.1,73.1,94.0,7.657225274725276,7.9672801789422,2.05,36.4,True
Zimbabwe,Africa,2004,686.639,2.48,23.4,9.75,12.02,6.8,43.1,66.0,13.154003831417624,7.10085190894405,9.4,143.60000000000002,True
St. Vincent and the Grenadines,Central America and Caribbean,2003,179.187,5.47,25.8,0.4,0.11,7.8,71.1,95.0,8.95935,8.712101863715663,3.8,40.7,True
Kenya,Africa,2007,345.5865,1.2,22.6,2.73,38.71,6.0,57.5,66.5,7.731241610738254,7.160845906664299,8.350000000000001,111.7,True
"Micronesia, Fed. Sts.",Oceania,2003,180.9535,3.16,28.9,0.17,0.11,5.5,65.1,83.5,6.031783333333333,8.01829613851552,0.2,64.2,True
Antigua and Barbuda,Central America and Caribbean,2004,148.5575,6.72,25.5,0.1,0.08,9.1,74.8,88.75,12.379791666666668,9.575052927597383,3.45,24.5,True
Nepal,Asia,2007,191.5375,0.2,21.4,0.17,26.38,3.0,66.3,77.75,4.464743589743589,6.467698726104354,17.5,95.3,True
Lithuania,European Union,2005,222.069,12.42,26.2,0.06,3.32,11.8,71.3,94.25,26.755301204819272,9.186764635447478,3.05,16.3,False
Vanuatu,Oceania,2003,168.7145,0.88,25.6,0.17,0.2,6.5,68.0,66.25,6.886306122448979,7.832014180505469,1.6,51.6,True
Afghanistan,Asia,2000,310.8305,0.02,21.7,0.02,20.78,2.2,55.8,30.5,3.397054644808743,5.003946305945459,2.4,219.7,True
Kuwait,Middle East,2011,64.969,0.0,29.1,0.13,3.17,7.0,74.6,99.0,6.838842105263157,10.409340834675561,3.25,18.5,True
Kenya,Africa,2011,260.375,1.47,22.9,1.8,43.18,6.2,61.9,79.25,6.591772151898734,7.213768308118642,8.0,94.0,True
Germany,European Union,2004,86.3185,11.83,26.0,0.08,82.52,12.9,78.7,92.25,17.2637,10.464102840804633,1.1,8.9,False
Argentina,South America,2014,118.5375,7.93,27.5,0.13,42.67,9.8,75.9,94.0,10.045550847457626,9.515543058145953,0.95,22.9,True
Panama,Central America and Caribbean,2008,124.016,6.0,26.3,0.4,3.52,9.2,76.4,84.25,6.527157894736843,9.199784858036667,2.0,39.1,True
Oman,Middle East,2015,89.1875,0.45,26.3,0.05,4.27,9.5,76.9,98.75,8.413915094339623,9.822602823795664,7.0,20.799999999999997,True
France,European Union,2014,74.8905,12.07,25.0,0.1,66.31,11.4,82.7,89.0,18.2659756097561,10.501774452072114,0.6,7.199999999999999,False
Bosnia and Herzegovina,Rest of Europe,2011,101.667,4.71,25.4,0.08,3.66,7.2,76.2,88.25,14.523857142857143,8.339500903005945,2.55,12.9,True
Mauritania,Africa,2002,227.5,0.012,23.9,0.45,2.78,3.1,60.9,76.25,3.2686781609195403,7.118826249062078,1.4,180.1,True
Somalia,Africa,2008,331.401,0.0,22.7,0.13,11.4,2.1,53.3,44.25,3.245847208619001,5.583496308781699,7.1,267.6,True
Azerbaijan,Asia,2011,134.006,0.6,26.5,0.08,9.17,10.7,71.2,88.5,4.25415873015873,8.54752839121231,2.8499999999999996,65.4,True
Maldives,Asia,2007,79.101,1.51,24.1,0.17,0.34,3.9,74.6,87.5,4.913105590062111,9.05204779298159,14.350000000000001,32.7,True
Armenia,Rest of Europe,2012,129.837,3.89,26.1,0.08,2.88,11.3,73.8,95.75,8.269872611464967,8.105911197986508,2.05,31.099999999999998,True
Ghana,Africa,2009,261.2595,1.26,23.5,1.06,24.17,6.7,60.6,84.25,5.246174698795181,7.207118856207756,7.25,121.1,True
Somalia,Africa,2006,337.337,0.0001,22.5,0.13,10.76,2.1,52.7,39.5,3.2127333333333334,5.472270673671475,7.300000000000001,276.0,True
Switzerland,Rest of Europe,2014,49.998,9.62,25.1,0.05,8.19,13.4,83.2,91.75,10.41625,11.342718232539287,0.35,8.1,False
Argentina,South America,2005,131.475,7.6,26.6,0.15,38.89,9.1,74.5,92.25,8.321202531645568,9.323043861889268,1.05,31.3,True
Guinea-Bissau,Africa,2010,287.62,3.06,23.0,2.41,1.52,2.6,54.6,78.0,3.907880434782609,6.375024819828097,7.95,187.1,True
Solomon Islands,Oceania,2000,228.169,0.71,24.9,0.17,0.41,4.6,67.4,80.0,8.577781954887218,7.570443252057374,1.4,56.3,True
"Congo, Dem. Rep.",Africa,2000,344.252,2.05,20.7,1.07,47.11,3.3,50.0,53.75,3.2023441860465116,5.863631175598097,12.350000000000001,265.8,True
Namibia,Africa,2010,412.4735,1.4,23.8,5.85,2.12,6.2,56.7,78.25,10.911997354497355,8.330381569349418,1.4,85.9,True
Russian Federation,Rest of Europe,2004,317.967,11.5,25.9,0.08,144.07,11.4,65.5,97.0,24.459,8.833171133022866,2.65,26.9,True
Japan,Asia,2003,70.306,7.82,22.5,0.17,127.72,11.0,81.8,90.75,18.027179487179488,10.36819593668493,1.5499999999999998,6.9,False
Mauritania,Africa,2004,223.7,0.014,24.1,0.4,2.94,3.3,61.2,65.75,3.251453488372093,7.176254532017144,5.4,177.5,True
Eswatini,Africa,2007,579.801,6.34,26.1,18.67,1.04,5.3,43.3,91.5,9.615273631840797,8.063377822367027,6.6,163.1,True
Nigeria,Africa,2011,372.383,4.99,23.0,0.73,162.81,5.5,51.3,51.5,4.433130952380952,7.80994708647679,6.45,216.1,True
United Arab Emirates,Middle East,2002,92.432,1.6,27.3,0.13,3.48,8.6,74.8,93.0,9.151683168316833,10.947573255182869,5.15,19.7,True
Burundi,Africa,2005,346.6695,6.07,21.0,0.83,7.36,2.3,53.4,78.25,4.366114609571788,5.6937321388027,8.25,203.3,True
Tajikistan,Asia,2006,155.062,0.56,24.7,0.07,6.92,10.5,66.8,85.75,3.4381818181818184,6.4967749901858625,3.8499999999999996,96.0,True
Honduras,Central America and Caribbean,2000,171.706,2.47,24.8,0.53,6.57,4.3,70.7,89.5,5.4858146964856225,7.490529402060711,2.75,67.3,True
Colombia,South America,2008,151.1495,4.35,25.5,0.19,44.25,7.3,75.0,86.5,8.5395197740113,8.51579221050061,2.15,36.2,True
"Gambia, The",Africa,2009,277.4475,3.05,23.3,1.29,1.74,2.7,59.3,89.0,5.768139293139293,6.598509028614515,8.350000000000001,123.9,True
Madagascar,Africa,2015,218.4575,0.86,21.3,0.24,24.23,6.1,65.5,67.5,5.164479905437353,6.148468295917647,7.1,100.3,True
Iceland,Rest of Europe,2003,58.787,6.52,25.7,0.03,0.29,9.8,81.0,93.5,15.470263157894736,10.686589690166539,0.95,6.3,False
Morocco,Africa,2002,140.5375,0.46,24.8,0.06,29.45,3.6,69.8,93.0,3.3783052884615383,7.552762084214147,6.55,88.6,True
Pakistan,Asia,2011,166.204,0.04,23.5,0.13,183.34,4.8,65.6,62.25,2.387988505747127,7.1284959456800365,2.2,153.6,True
Bolivia,South America,2009,204.4305,3.64,25.7,0.18,9.88,7.9,67.5,90.25,5.710349162011173,7.806289289267033,1.15,78.9,True
Cambodia,Asia,2006,214.084,1.18,21.2,0.3,13.48,3.6,63.9,72.0,4.256143141153082,6.634633357861686,11.5,109.0,True
Malaysia,Asia,2006,129.376,0.45,24.6,0.2,26.2,8.2,73.7,93.75,16.172,8.926915889777042,8.7,15.1,True
Romania,European Union,2006,159.0955,9.89,25.5,0.04,21.19,10.3,72.2,97.25,10.466809210526316,8.831565879121063,3.45,30.8,False
Dominican Republic,Central America and Caribbean,2008,173.0485,5.91,25.7,0.59,9.46,7.2,71.6,83.0,5.749119601328903,8.596189197642735,3.3499999999999996,64.6,True
Norway,Rest of Europe,2015,53.897,5.97,26.6,0.04,5.19,12.5,82.3,92.25,16.842812499999997,11.216633096750416,0.75,4.9,False
Italy,European Union,2005,64.2915,8.65,25.6,0.09,57.97,9.2,80.8,93.0,13.3940625,10.412080686149404,0.5,8.3,False
Vietnam,Asia,2015,124.547,2.98,21.7,0.12,92.68,8.0,75.1,89.0,6.768858695652174,7.8567067930958405,14.35,39.2,True
Albania,Rest of Europe,2007,82.6975,5.46,25.8,0.03,2.97,9.2,75.6,97.5,5.073466257668712,8.021584533455107,1.65,32.400000000000006,True
Oman,Middle East,2013,92.6785,0.44,26.1,0.05,3.76,8.9,76.4,98.5,8.661542056074767,9.88608703785596,6.9,21.0,True
Czechia,European Union,2001,121.6575,13.64,26.5,0.08,10.22,10.9,75.2,96.25,22.954245283018867,9.452187908084165,2.25,9.5,False
Tonga,Oceania,2002,155.0705,1.5,31.4,0.17,0.1,9.1,69.8,90.0,10.477736486486487,8.282230063296685,0.1,29.8,True
"Congo, Rep.",Africa,2001,420.18,0.9,22.1,2.41,3.22,5.6,52.5,49.5,5.8602510460251045,7.640603826393634,9.2,181.8,True
Slovenia,European Union,2010,86.192,10.33,26.1,0.02,2.05,12.1,79.4,94.0,23.94222222222222,9.933725735596738,1.6,5.800000000000001,False
Gabon,Africa,2001,321.9725,9.27,23.8,3.6,1.26,6.3,58.0,55.75,6.040759849906192,8.97055917950895,7.75,133.7,True
Zambia,Africa,2014,309.5495,4.22,22.4,4.77,15.4,6.9,60.8,70.75,6.586159574468086,7.201916317531627,6.25,114.3,True
Eswatini,Africa,2015,434.821,7.49,26.8,14.3,1.1,6.5,55.4,86.75,9.411709956709958,8.210939733379021,4.05,102.4,True
Togo,Africa,2000,331.9545,1.08,22.0,2.97,4.92,4.0,53.5,68.0,4.327959582790091,6.2285110035911835,9.350000000000001,195.60000000000002,True
Dominican Republic,Central America and Caribbean,2014,163.0145,5.23,26.3,0.4,10.17,7.8,73.0,88.25,5.470285234899329,8.786914938491025,3.25,63.8,True
"Egypt, Arab Rep.",Africa,2001,174.899,0.13,27.8,0.13,70.15,4.9,68.8,90.25,4.83146408839779,7.88344635413774,3.45,79.1,True
Papua New Guinea,Oceania,2014,227.218,1.35,25.4,0.4,7.95,4.3,63.2,62.0,5.38431279620853,7.850103545175582,1.3,93.6,True
Ireland,European Union,2000,94.6415,13.84,26.3,0.04,3.81,10.8,76.5,88.25,13.520214285714285,10.63643220297014,0.3,13.1,False
Bhutan,Asia,2010,227.3425,0.23,23.3,0.16,0.69,2.3,68.4,89.75,6.476994301994302,7.71244383427499,16.950000000000003,76.5,True
Comoros,Africa,2001,270.665,0.1,22.9,0.02,0.56,3.0,59.5,68.75,3.7026675786593715,7.080867896690782,7.8,172.3,True
Chile,South America,2014,90.433,7.92,27.8,0.19,17.76,10.1,79.5,93.25,11.447215189873418,9.50061907027523,0.8,15.0,True
Syrian Arab Republic,Middle East,2006,115.127,0.75,27.4,0.13,19.06,6.2,74.4,81.75,6.578685714285714,7.346655163176539,6.35,35.8,True
Cambodia,Asia,2009,198.62,1.42,21.5,0.19,14.09,3.7,66.0,82.0,4.820873786407767,6.752270376141742,11.25,87.7,True
Serbia,Rest of Europe,2004,145.094,9.17,25.5,0.01,7.46,10.0,72.7,92.25,15.435531914893616,8.333991247194975,2.6,18.1,True
Belgium,European Union,2002,95.81,11.29,25.6,0.08,10.33,10.3,78.1,82.25,17.74259259259259,10.502159204873188,0.8,9.8,False
Belize,Central America and Caribbean,2004,190.602,6.07,27.8,1.48,0.28,10.3,69.7,95.0,9.9271875,8.482808764554406,3.55,39.5,True
Costa Rica,Central America and Caribbean,2000,98.9985,4.24,25.8,0.13,3.96,8.0,77.5,85.75,8.181694214876034,8.946244609330543,2.3499999999999996,24.2,True
Romania,European Union,2007,155.9065,11.06,25.6,0.04,20.88,10.5,72.6,96.75,11.136178571428571,8.916103530553727,3.4000000000000004,28.2,False
Cuba,Central America and Caribbean,2008,96.542,4.25,25.1,0.15,11.24,10.6,78.2,96.75,15.0846875,8.779865100863852,3.3,12.100000000000001,True
Honduras,Central America and Caribbean,2014,147.875,2.42,26.5,0.06,8.96,6.2,74.3,94.0,8.16988950276243,7.721791776817535,2.1,37.1,True
Trinidad and Tobago,Central America and Caribbean,2007,184.093,6.03,26.7,0.4,1.31,10.5,71.2,88.5,8.109823788546255,9.802395690974855,6.3,46.099999999999994,True
Botswana,Africa,2004,528.2495,4.91,23.9,13.43,1.77,8.1,51.2,91.5,12.25636890951276,8.488999457045455,1.45,114.80000000000001,True
St. Vincent and the Grenadines,Central America and Caribbean,2005,173.295,6.37,26.0,0.4,0.11,7.9,71.3,93.5,8.708291457286432,8.774312958285378,3.7,40.4,True
Bolivia,South America,2003,227.5185,2.32,25.1,0.2,8.91,7.1,64.2,83.25,4.6622643442622955,7.642044402873258,1.35,111.1,True
Paraguay,South America,2002,166.295,4.81,25.1,0.18,5.53,6.5,71.0,79.5,5.9818345323741005,8.223090551161533,2.3499999999999996,59.099999999999994,True
"Bahamas, The",Central America and Caribbean,2014,160.15,9.22,27.8,0.34,0.37,11.1,72.8,92.75,12.132575757575758,10.363756452684967,2.5,26.5,True
Costa Rica,Central America and Caribbean,2004,96.3765,4.08,26.2,0.15,4.23,7.9,78.0,88.5,8.841880733944953,9.035510680940524,2.05,21.4,True
Malta,European Union,2001,62.98,5.99,26.9,0.08,0.39,8.2,78.8,80.75,8.286842105263158,9.732758541777981,0.7,14.1,False
Malawi,Africa,2000,570.551,1.36,21.7,9.54,11.15,3.0,45.1,72.75,5.621192118226602,5.68697535633982,7.95,275.1,True
Finland,European Union,2006,94.799,10.15,25.9,0.08,5.27,12.0,79.2,93.5,23.69975,10.693648007266072,0.8500000000000001,6.6,False
Montenegro,Rest of Europe,2007,126.1335,9.68,25.8,0.03,0.62,10.8,74.3,92.25,14.498103448275863,8.66544076787644,2.1500000000000004,16.6,True
"Egypt, Arab Rep.",Africa,2004,171.3545,0.14,28.1,0.13,74.17,5.4,69.3,88.75,5.42261075949367,7.9229859587111955,3.25,68.1,True
United Arab Emirates,Middle East,2010,74.296,1.69,28.0,0.13,8.55,9.9,76.3,94.0,8.844761904761905,10.39010244758706,5.0,16.1,True
Iceland,Rest of Europe,2006,64.745,7.2,25.9,0.03,0.3,10.2,81.2,93.75,18.49857142857143,10.834331865417795,0.9,5.6,False
Malaysia,Asia,2013,124.668,0.55,25.4,0.15,29.47,10.1,75.1,97.25,15.983076923076924,9.124782483614537,7.699999999999999,14.8,True
Antigua and Barbuda,Central America and Caribbean,2002,152.267,6.67,25.3,0.1,0.08,9.0,74.4,86.5,11.803643410852713,9.485848643496254,3.55,26.5,True
Central African Republic,Africa,2002,551.1775,1.6,21.7,3.64,3.8,3.0,44.1,48.75,5.033584474885845,6.169610732491456,1.2,274.3,True
Timor-Leste,Oceania,2013,154.7555,0.48,21.0,0.09,1.15,4.5,68.0,77.5,3.2996908315565037,7.160845906664299,11.149999999999999,100.1,True
Serbia,Rest of Europe,2010,127.7695,8.87,25.8,0.02,7.29,10.4,74.3,90.5,16.811776315789473,8.557759153162898,2.25,14.2,True
Hungary,European Union,2001,185.7405,13.18,26.0,0.08,10.19,10.3,72.2,96.25,20.189184782608695,9.143986871426161,2.2,17.799999999999997,False
Malaysia,Asia,2005,129.6545,0.49,24.5,0.21,25.69,7.6,73.6,94.75,16.2068125,8.892336539638013,8.9,15.2,True
Botswana,Africa,2015,248.595,6.14,24.3,5.81,2.12,9.2,67.3,91.5,6.123029556650246,8.764678074116606,6.25,89.30000000000001,True
Chad,Africa,2005,404.29,0.46,21.3,0.96,10.1,1.5,48.5,38.25,4.328586723768737,6.517671272912275,1.45,259.3,True
Malawi,Africa,2002,591.4675,1.25,21.9,8.06,11.71,3.2,45.5,67.75,6.909667056074767,5.605802066295998,7.65,230.1,True
Sierra Leone,Africa,2012,410.143,3.19,22.6,0.94,6.71,3.2,51.0,83.25,4.032871189773844,6.4425401664681985,7.85,248.0,True
Mali,Africa,2005,302.4025,0.55,22.1,0.76,12.78,1.7,52.1,75.5,3.3939674523007857,6.535241271013659,9.8,244.5,True
Bangladesh,Asia,2007,147.641,0.004,20.8,0.01,142.66,4.7,68.6,87.0,3.2236026200873362,6.75343791859778,10.8,102.6,True
Latvia,European Union,2015,160.237,10.8,26.6,0.29,1.98,12.8,74.5,93.75,30.233396226415095,9.531481398171628,2.1500000000000004,9.3,False
Angola,Africa,2002,350.8275,2.08,21.9,1.39,17.52,4.4,47.7,48.5,3.037467532467532,7.616775808698373,1.5,306.0,True
Jamaica,Central America and Caribbean,2003,162.465,3.43,25.9,0.83,2.71,7.8,74.1,97.0,8.734677419354838,8.533853632309345,1.85,38.3,True
Zambia,Africa,2005,521.085,2.41,21.8,7.69,11.86,6.3,48.5,71.75,8.284340222575517,6.823286122355687,7.05,168.1,True
Kyrgyz Republic,Asia,2002,223.718,5.84,24.9,0.04,4.99,10.0,68.2,90.25,5.6210552763819095,6.610696044717759,3.5,84.0,True
Zimbabwe,Africa,2000,687.993,1.89,23.3,12.86,11.88,6.5,44.6,74.75,13.00553875236295,7.437206366871292,11.1,147.4,True
China,Asia,2003,105.496,2.89,22.6,0.1,1288.4,6.7,72.4,84.25,4.323606557377049,7.936660155225426,5.0,52.2,True
Nepal,Asia,2015,154.604,0.24,22.4,0.17,27.02,4.7,69.5,84.25,5.119337748344371,6.805722553416985,15.9,64.7,True
Chad,Africa,2004,407.207,0.42,21.2,1.04,9.73,1.4,48.3,35.75,4.2909062170706,6.395261598115449,1.65,264.3,True
Afghanistan,Asia,2014,231.978,0.01,23.2,0.03,33.37,3.5,63.0,57.5,4.127722419928825,6.338594078203183,17.5,128.8,True
Cuba,Central America and Caribbean,2001,109.7575,4.05,24.6,0.12,11.16,9.7,76.9,93.0,14.071474358974358,8.348301054933943,3.5,15.3,True
Tanzania,Africa,2014,255.4665,7.43,23.1,2.12,49.96,5.6,62.3,88.75,5.95493006993007,6.825460036255307,6.699999999999999,101.8,True
Ecuador,South America,2013,127.577,3.78,26.9,0.16,15.71,8.3,75.7,82.75,8.338366013071894,8.713582005421628,1.2000000000000002,30.900000000000002,True
Djibouti,Africa,2011,265.328,0.39,23.9,0.39,0.85,4.0,60.7,85.75,4.2863974151857835,7.2813856635702825,5.55,135.3,True
Slovenia,European Union,2003,117.617,11.55,25.6,0.03,2.0,11.5,76.9,94.0,24.0034693877551,9.787178430135745,2.05,8.6,False
Grenada,Central America and Caribbean,2004,168.877,8.68,25.8,0.4,0.1,7.7,73.1,77.75,12.509407407407409,8.93313654381203,4.0,27.2,True
"Congo, Dem. Rep.",Africa,2015,260.0235,4.47,21.9,0.35,76.24,6.4,59.3,76.0,3.513831081081081,6.210600077024653,9.4,168.9,True
Cuba,Central America and Caribbean,2002,108.1925,4.1,24.7,0.13,11.2,9.5,77.1,91.5,14.425666666666666,8.35936910622267,3.4,14.7,True
Maldives,Asia,2013,72.3455,1.16,25.0,0.17,0.42,5.7,77.0,99.0,6.761261682242991,9.100078977718645,13.75,21.0,True
